Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Newport Nearshore Windpark,Offshore Wind,Delsea Energy,Delsea Energy,,Delaware Bay offshore from Cumberland County NJ,381.6,106,,Siemens,Proposed,"39.2°, -75.24°",-75.24,39.2,2.9711277793361885,1.1402691357692993
Nine Canyon III Wind Farm,Commercial Scale Wind,Energy Northwest,Energy Northwest/RES Americas,Energy Northwest,,32.2,14,2008,Siemens,In Service,"46.286065°, -119.425532°",-119.425532,46.286065,0.5024937822422214,0.5438324326963225
Nine Canyon Wind Farm,Commercial Scale Wind,Energy Northwest,Energy Northwest,Energy Northwest,Benton County,48.1,37,2002,Bonus,In Service,"46.286065°, -119.425532°",-119.425532,46.286065,0.5024937822422214,0.5438324326963225
Nine Canyon Wind Farm Phase II,Commercial Scale Wind,Energy Northwest,Energy Northwest,Energy Northwest,Benton County,15.6,12,2003,Bonus,In Service,"46.286065°, -119.425532°",-119.425532,46.286065,0.5024937822422214,0.5438324326963225
No Fossil Fuel - Kingston,Commercial Scale Wind,No Fossil Fuel LLC,No Fossil Fuel LLC,Net-metered,Kingston MA,6,3,2012,Gamesa,In Service,"41.97388106°, -70.72577477°",-70.72577477,41.97388106,2.6062232265606653,0.06912048611230036
Noble Altona Wind Park,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,Clinton County NY,97.5,65,2009,GE Energy,In Service,"44.831383°, -73.664024°",-73.664024,44.831383,3.2164576668381084,-0.3689595365267848
Noble Bellmont Wind Farm,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,Franklin County NY,21,14,,GE Energy,Under Construction,"44.766569°, -74.094292°",-74.094292,44.766569,2.7779488641044403,-0.07566752765352695
Noble Bliss Windpark,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,WY County NY,100.5,67,2008,GE Energy,In Service,"42.571308°, -78.243045°",-78.243045,42.571308,2.1844908540042685,0.06413211331521473
Noble Chateaugay Wind Farm,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,Franklin County NY,106.5,71,2009,GE Energy,In Service,"44.925016°, -73.999879°",-73.999879,44.925016,3.3234018336446094,-0.14189705587234788
Noble Clinton Windpark,Commercial Scale Wind,,Noble Environmental Power,,Clinton County NY,100.5,67,2008,GE Energy,In Service,"44.828665°, -73.668909°",-73.668909,44.828665,3.2164576668381084,-0.3689595365267848
Noble Ellenburg Windpark,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,Clinton County NY,81,54,2008,,In Service,"44.923427°, -73.99631°",-73.99631,44.923427,3.3234018336446094,-0.14189705587234788
Noble Wethersfield Wind Farm,Commercial Scale Wind,Noble Environmental Power,Noble Environmental Power,,NY,126,84,2009,GE Energy,In Service,"42.684775°, -78.245856°",-78.245856,42.684775,2.0371057617243236,-0.08354889799741631
Nobles Wind Farm,Commercial Scale Wind,Nobles Cooperative Electric,Nobles Cooperative Electric,N/A,Brewster MN,2.1,1,2008,Suzlon Energy Company,In Service,"43.703317°, -95.457977°",-95.457977,43.703317,2.17002299839349,-2.647027069329529
Nobles Wind Farm II,Commercial Scale Wind,Xcel Energy,EnXco,Xcel Energy,Nobles County MN,201,134,2010,GE Energy,In Service,"43.682956°, -95.728425°",-95.728425,43.682956,2.6330401349194372,-2.526199668391129
Nome Wind Farm,Commercial Scale Wind,Bering Straits Native Corp. and Sitnasuak Native Corp.,Western Community Energy,,Nome AK,0.9,18,2008,Entegrity,In Service,"64.5011111°, -165.4063889°",-165.4063889,64.5011111,4.30109300035864,-2.326597861698136
Norfolk Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.043221°, -97.41452°",-97.41452,42.043221,2.556970870897512,-0.8435044020496298
Norris Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"40.564331°, -96.633492°",-96.633492,40.564331,1.994492381128433,-1.8449637940968122
North Allegheny Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,FirstEnergy,Juniata Township PA,70,35,2009,Gamesa,In Service,"40.39355°, -78.549095°",-78.549095,40.39355,1.5305228164882598,0.9011574065631442
North Dakota Wind I Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,Edgeley/Kulm ND,40.5,27,2003,GE Energy,In Service,"46.319182°, -98.890818°",-98.890818,46.319182,2.106846011632017,-2.7928216403376553
North Dakota Wind II Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Otter Tail Power Coop.,Edgeley/Kulm ND,21,14,2003,GE Energy,In Service,"46.292787°, -98.881638°",-98.881638,46.292787,2.106846011632017,-2.7928216403376553
North Newton School Corp,Community Wind,North Newton School Corp,Performance Services,Net-metered,Morocco IN,0.9,1,2012,PowerWind,In Service,"41.03259745°, -87.42682815°",-87.42682815,41.03259745,0.6264184154262634,-0.2914567944778671
North Shaokatan Wind Farm,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Lincoln County MN,11.88,18,2000,Vestas,In Service,"44.393089°, -96.425042°",-96.425042,44.393089,2.288864344819295,-1.7553391183537375
North Sky River,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric,Tehachapi CA,160,100,2012,GE Energy,In Service,"35.335578°, -118.186347°",-118.186347,35.335578,1.4446106556121399,-0.8982175542174922
North Wilkes Middle and High School Wind Project,Community Wind,,,,NC,0,1,,SkyStream,,"36.261246°, -81.148483°",-81.148483,36.261246,0.8292767960017342,-0.9827937132799972
Northern Arizona University ARD Wind Project,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"35.184861°, -111.65861°",-111.65861,35.184861,2.0742468282807063,-2.482663649541856
Northern Arizona University SHRM Wind Project,Community Wind,,,,AZ,0,1,2015,SkyStream,In Service,"35.188948°, -111.653825°",-111.653825,35.188948,2.0742468282807063,-2.482663649541856
Northern Colorado Wind Energy Center (GE),Commercial Scale Wind,NextEra Energy,NextEra Energy,Xcel Energy,Logan County CO,22.5,15,2009,GE Energy,In Service,"40.974539°, -103.025336°",-103.025336,40.974539,3.6454079591864623,-1.9620002155294483
Northern Colorado Wind Energy Center (Siemens),Commercial Scale Wind,NextEra Energy,NextEra Energy,Xcel Energy,Logan County CO,151.8,66,2009,Siemens,In Service,"40.974539°, -103.025336°",-103.025336,40.974539,3.6454079591864623,-1.9620002155294483
Northumberland Schools Wind Project,Community Wind,,,,VA,0,1,,SkyStream,,"37.917591°, -76.473579°",-76.473579,37.917591,0.4252058279115367,0.8519663139864037
Northwestern High School Wind Project,Community Wind,,,,PA,0,0,2012,SkyStream,In Service,"41.887224301879°, -80.353326514396°",-80.353326514396,41.887224301879,1.449999965470413,0.8097835498906344
Northwestern School Corp,Community Wind,Northwestern School Corp,Performance Services,Net-metered,Kokomo IN,0.9,1,2012,PowerWind,In Service,"40.52319489°, -86.20448112°",-86.20448112,40.52319489,2.2218236052930864,-2.1737790686207075
Notrees 1A (Vestas) Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Ector and Winkler Counties TX,90.75,55,2009,Vestas,In Service,"31.925296°, -102.722819°",-102.722819,31.925296,4.601847608234268,0.07177193340022761
Notrees 1B (GE Energy) Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,TX,60,40,2009,GE Energy,In Service,"31.9665259°, -102.8975098°",-102.8975098,31.9665259,4.368077146634007,-0.2427576804382381
Notrees 1C (Vestas) Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,TX,1.87,1,2009,Vestas,In Service,"31.9685988°, -99.9018131°",-99.9018131,31.9685988,4.684805319195581,-3.0196205020519913
Notus Falmouth Technology Park,Commercial Scale Wind,Notus Clean Energy,Notus Clean Energy,,East Falmouth MA,1.65,1,2010,Vestas,In Service,"41.605949°, -70.620722°",-70.620722,41.605949,3.3671945733086814,0.0653828637611045
Nueces Electric Cooperative,Community Wind,Nueces Electric Cooperatie,,,TX,0,1,2015,SkyStream,In Service,"27.847322222222°, -97.65075°",-97.65075,27.847322222222,1.5532224106511132,2.433664688076343
OU Spirit Wind Farm,Commercial Scale Wind,CPV Renewable Energy,CPV Renewable Energy Company,Oklahoma Gas & Electric,Woodward County OK,101,44,2009,Siemens,In Service,"36.245403°, -99.433011°",-99.433011,36.245403,6.717514513995268,-1.7126933776345568
Oak Creek - Phase 2A,Commercial Scale Wind,Oak Creek Energy Systems,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,1.6,2,1999,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Creek Energy Systems Wind Farm I,Commercial Scale Wind,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,3.46,36,,Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Creek Energy Systems Wind Farm II,Commercial Scale Wind,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,1.35,1,2002,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Creek Energy Systems Wind Farm III,Commercial Scale Wind,Oak Creek Energy Systems,Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,0.8,1,2002,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Creek Phase I Wind Farm,Commercial Scale Wind,Nichimen America/Oak Creek Energy Systems,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,4.2,7,1997,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Creek Wind Power Phase 2 Wind Farm,Commercial Scale Wind,Caithness,M&N Wind Power/Oak Creek Energy Systems,Southern California Edison Co,Tehachapi CA,23.1,33,1999,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Oak Glen Wind Project,Commercial Scale Wind,Minnesota Municipal Power Authority,Avant Energy,Minnesota Municipal Power Authority,Blooming Prairie MN,43.2,24,2011,Vestas,In Service,"43.91659835°, -93.12385082°",-93.12385082,43.91659835,3.207506906549537,-2.9692682929860696
Oasis Power Partners Wind Farm,Commercial Scale Wind,EnXco,EnXco,San Diego Gas & Electric,Tehachapi CA,60,60,2004,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Ocotillo,Commercial Scale Wind,Duke Energy,Duke Energy,,Big Spring TX,58.5,28,2008,Suzlon Energy Company,In Service,"32.1323035°, -101.4208031°",-101.4208031,32.1323035,1.9859506448450264,2.5424173245583908
Ocotillo Wind I,Commercial Scale Wind,Pattern Energy,Pattern Energy,San Diego Gas & Electric,Ocotillo CA,227.78,96,2012,Siemens,In Service,"32.749379°, -116.03876°",-116.03876,32.749379,4.995167668347529,0.6218785486997555
Ocotillo Wind I Expansion,Commercial Scale Wind,Pattern Energy,Pattern Energy,San Diego Gas & Electric,Ocotillo CA,42.66,18,,Siemens,Under Construction,"32.76302656°, -116.0466957°",-116.0466957,32.76302656,4.995167668347529,0.6218785486997555
Octotillo Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,,Howard County TX,58.8,28,2008,Suzlon Energy Company,In Service,"32.209085°, -101.413704°",-101.413704,32.209085,1.9859506448450264,2.5424173245583908
Odin Wind Farm,Commercial Scale Wind,Edison Mission Group/Rahn Group,Edison Mission Group/Rahn Group,Missouri River Energy Services,MN,21,10,2008,Suzlon Energy Company,In Service,"43.808589°, -94.824893°",-94.824893,43.808589,2.881336390596524,3.0198205179125726
Oklahoma Wind Energy Center - A,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Oklahoma Muncipal Power Authority,Woodward OK,51,34,2003,GE Energy,In Service,"36.6051°, -99.327829°",-99.327829,36.6051,6.489082987954387,-1.7270777445315713
Oklahoma Wind Energy Center - B,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Oklahoma Gas & Electric,Woodward OK,51,34,2003,GE Energy,In Service,"36.58642°, -99.310015°",-99.310015,36.58642,6.492680320909029,-1.709861761898911
Oliver II Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Minnesota Power,ND,48,32,2007,GE Energy,In Service,"47.180446°, -101.225116°",-101.225116,47.180446,1.7623280077269303,1.180806557181811
Oliver Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Minnesota Power,Oliver County ND,50.6,22,2006,Siemens,In Service,"47.180446°, -101.225116°",-101.225116,47.180446,1.7623280077269303,1.180806557181811
Olsen Wind Farm,Commercial Scale Wind,Olsens,Olsens with Dan Juhl,Xcel Energy,Near Ihlen MN,1.5,2,2001,NEG Micon,In Service,"43.91065°, -96.369853°",-96.369853,43.91065,2.3552918846520834,-2.18117448617061
Omaha Wind Project,Commercial Scale Wind,Omaha Public Power District,Omaha Public Power District,Omaha Public Power District,Near Omaha NE,0.66,1,2001,Vestas,In Service,"41.2566°, -95.9278°",-95.9278,41.2566,0.21633308099130505,-0.5880025748914889
Oregon Trail Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power / Reunion Power,Twin Falls County ID,13.5,9,2010,GE Energy,In Service,"42.927683°, -114.919252°",-114.919252,42.927683,0.6989277283685505,0.9788254937687653
Orme School Wind Project,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"34.430366°, -112.072971°",-112.072971,34.430366,1.5864740880767088,-2.6130644797132296
Osage Municipal Utilities Wind,Commercial Scale Wind,Osage Municipal Utilities,Osage Municipal Utilities,Osage Municipal Utilities,West of Osage IA,1.5,1,2009,GE Energy,In Service,"43.298363°, -92.84096°",-92.84096,43.298363,4.244443341242701,-2.8623221258676432
Oshkosh Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"41.403511°, -102.350502°",-102.350502,41.403511,2.819521337528199,-1.9295669871684755
Other World Computing,Community Wind,Other World Computing,Other World Computing,Other World Computing,Woodstock IL,1,0.5,2009,Vestas,In Service,"42.281129°, -88.417338°",-88.417338,42.281129,3.038321877358736,-2.2676416655300735
PaTu Wind Farm,Commercial Scale Wind,,Oregon Trail Wind Farm,,Sherman County OR,9,6,2010,GE Energy,In Service,"45.603734°, -120.618621°",-120.618621,45.603734,2.077811282624124,0.08673834488868541
Pacific Crest Wind Farm,Commercial Scale Wind,Caithness,NextEra Energy Resources,Southern California Edison Co,Tehachapi CA,46.86,71,1999,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Pacific West I Wind Farm,Commercial Scale Wind,PacifiCorp,SeaWest,Southern California Edison/PacifiCorp,San Gorgonio CA,2.1,3,1999,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Pacific Wind,Commercial Scale Wind,EnXco,EnXco,San Diego Gas & Electric,Rosamond CA,142.25,69,2012,REpower,In Service,"34.94448806°, -118.3886719°",-118.3886719,34.94448806,3.778094698876727,-0.7517030430230941
Painted Hills B&C Wind Farm I,Commercial Scale Wind,,Zond Systems,Southern California Edison Co,San Gorgonio CA,15.3,170,,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Painted Hills B&C Wind Farm II,Commercial Scale Wind,,Zond Systems,Southern California Edison Co,San Gorgonio CA,3.96,61,,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Pakini Nui Wind Farm,Commercial Scale Wind,,Apollo Energy,Hawaiian Electric Light Co.,South Point of Big Island HI,21,14,,GE Energy,In Service,"18.9923°, -155.668°",-155.668,18.9923,6.673125348063875,-2.983588482167174
Palmetto Wind Research Project,Offshore Wind,Santee Cooper,South Carolina Energy Office / Santee Cooper / Coastal Carolina University,,Atlantic Ocean SC,80,0,,,Proposed,"33.534°, -78.59°",-78.59,33.534,5.64327903957278,2.0716987192174257
Palouse Wind,Commercial Scale Wind,First Wind,First Wind,Avista,Naff Ridge,104.4,35,2012,Vestas,In Service,"47.1572222°, -117.3325°",-117.3325,47.1572222,1.2935609169599374,1.9929452794437483
Pantex Plant Wind Project,Commercial Scale Wind,Pantex,Siemens,Pantex Plant,Amarillo TX,11.5,5,,Siemens,Under Construction,"35.307841°, -101.535301°",-101.535301,35.307841,7.459389883856756,-1.8352847221986155
Panther Creek,Commercial Scale Wind,Affinity Wind/Suzlon Energy Limited,Surity Wind,,Pike County IL,150,75,,Suzlon Energy Company,Under Construction,"39.607275°, -90.85556°",-90.85556,39.607275,2.89927584003888,-2.7412298336174774
Panther Creek I Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,,TX,142.5,95,2008,GE Energy,In Service,"32.201592°, -101.406391°",-101.406391,32.201592,1.9859506448450264,2.5424173245583908
Panther Creek II Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,N/a,TX,115.5,77,2009,GE Energy,In Service,"32.201592°, -101.406391°",-101.406391,32.201592,1.9859506448450264,2.5424173245583908
Panther Creek III Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,,TX,199.5,133,2009,GE Energy,In Service,"31.9685988°, -99.9018131°",-99.9018131,31.9685988,4.684805319195581,-3.0196205020519913
Papalote Creek II,Commercial Scale Wind,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Lower Colorado River Authority,30 miles north of Corpus Christi in San Patricio County TX,200.1,87,2010,Siemens,In Service,"27.9762813°, -97.343066°",-97.343066,27.9762813,1.6542369329228432,2.2663085774775094
